lblSRNo,txtItemSerialNo,txtItemBarcodeNo
1,3259999007,3259999007
2,3259999008,3259999008
3,3259999009,3259999009
4,3259999010,3259999010
5,3259999011,3259999011
6,3259999012,3259999012
7,3259999013,3259999013
8,3259999014,3259999014
9,3259999015,3259999015
10,3259999016,3259999016
11,3259999017,3259999017
12,3259999018,3259999018
13,3259999019,3259999019
14,3259999020,3259999020
15,3259999021,3259999021
16,3259999022,3259999022
17,3259999023,3259999023
18,3259999024,3259999024
19,3259999025,3259999025
20,3259999026,3259999026
