P_O_Number,P_O_Date,Vendor_Code,Order_Qty,Vendor_Name,Material_Code,Material_Description,Order_By,Rate,Cost_Center
5300002574,20.04.2017,301342,250,PERFECT COPY SOLUTIONS PVT LTD,14000001584,Physics Booklet No. 1,A,86.96,0701.MSJMT
5300002574,20.04.2017,301342,250,PERFECT COPY SOLUTIONS PVT LTD,14000001585,Physics Booklet No. 2,A,89.33,0701.MSJMT
5300002574,20.04.2017,301342,250,PERFECT COPY SOLUTIONS PVT LTD,14000001586,Physics Booklet No. 3,A,105.21,0701.MSJMT
5300002574,20.04.2017,301342,250,PERFECT COPY SOLUTIONS PVT LTD,14000001024,Chemistry Booklet No. 1,A,101.19,0701.MSJMT
5300002574,20.04.2017,301342,250,PERFECT COPY SOLUTIONS PVT LTD,14000001025,Chemistry Booklet No. 2,A,107.58,0701.MSJMT
5300002574,20.04.2017,301342,250,PERFECT COPY SOLUTIONS PVT LTD,14000001587,Chemistry Booklet No. 3,A,118.72,0701.MSJMT
5300002574,20.04.2017,301342,150,PERFECT COPY SOLUTIONS PVT LTD,14000001588,Maths Booklet No. 1,A,98.41,0701.MSJMT
5300002574,20.04.2017,301342,150,PERFECT COPY SOLUTIONS PVT LTD,14000001589,Maths Booklet No. 2,A,98.41,0701.MSJMT
5300002574,20.04.2017,301342,150,PERFECT COPY SOLUTIONS PVT LTD,14000001590,Biology Booklet No. 1,A,80.88,0701.MSJMT
5300002574,20.04.2017,301342,150,PERFECT COPY SOLUTIONS PVT LTD,14000001591,Biology Booklet No. 2,A,98.41,0701.MSJMT
5300002574,20.04.2017,301342,150,PERFECT COPY SOLUTIONS PVT LTD,14000001592,Biology Booklet No. 3,A,77.78,0701.MSJMT
5300002574,20.04.2017,301342,150,PERFECT COPY SOLUTIONS PVT LTD,14000001593,Biology Booklet No. 4,A,80.88,0701.MSJMT
