P_O_Number,P_O_Date,Vendor_Code,Order_Qty,Vendor_Name,Material_Code,Material_Description,Order_By,Rate,Status,Cost_Center
5200003335,02.01.2016,301146,"4,000.00",Jayant Printery LLP,16000001363,Brochure / Prospectus,MB,17,,0101A
5200003354,06.01.2016,300091,15,Navkar Enterprises,16000000822,18W PLC Philips/Havells,HMS,88,,0101A
5200003354,06.01.2016,300091,10,Navkar Enterprises,16000000856,18W copper choke,HMS,120,,0101A
5200003354,06.01.2016,300091,1,Navkar Enterprises,16000000821,11W  PL Tube Philips/Havells,HMS,75,,0101A
5200003354,06.01.2016,300091,1,Navkar Enterprises,16000000855,11 W Copper choke,HMS,100,,0101A
5200003354,06.01.2016,300091,1,Navkar Enterprises,16000000855,6A Socket,HMS,77,,0102A
5200003354,06.01.2016,300091,2,Navkar Enterprises,16000000864,Max Bell,HMS,95,,0101A
5200003354,06.01.2016,300091,2,Navkar Enterprises,16000000864,Max Bell,HMS,95,,0101A
5200003354,06.01.2016,300091,11,Navkar Enterprises,16000000749,Polycab 2.5mm 3core Flex. Cable (Mtr),HMS,73,,0101A
5200003354,06.01.2016,300091,2,Navkar Enterprises,16000000872,40W TL & TLD,HMS,43,,0101A
5200003354,06.01.2016,300091,2,Navkar Enterprises,16000000859,40W Teknol.  Ele. Choke,HMS,160,,0101A
5200003354,06.01.2016,300091,5,Navkar Enterprises,16000003598,Cable Clip,HMS,11,,0101A
5200003374,13.01.2016,300091,34,Navkar Enterprises,16000000822,18W PLC Philips/Havells,HMS,88,,0102A
5200003374,13.01.2016,300091,15,Navkar Enterprises,16000000856,18W copper choke,HMS,120,,0102A
5200003374,13.01.2016,300091,6,Navkar Enterprises,16000000886,13W PLC Holder,HMS,20,,0102A
5200003374,13.01.2016,300091,5,Navkar Enterprises,16000000857,40W  copper choke,HMS,140,,0102A
5200003374,13.01.2016,300091,5,Navkar Enterprises,16000000872,40W TL & TLD,HMS,43,,0102A
5200003374,13.01.2016,300091,5,Navkar Enterprises,16000000862,Starter,HMS,13,,0102A
5200003383,18.01.2016,300243,1,Pranay Hardware,16000003376,Floorspring,HMS,"2,400.00",,0102A
5200003383,18.01.2016,300243,3,Pranay Hardware,16000002951,5 x 1 1/2 Hinges,HMS,248,,0102A
5200003383,18.01.2016,300243,4,Pranay Hardware,16000001099,38X8 screw-Dzn,HMS,20,,0102A
5200003383,18.01.2016,300243,1,Pranay Hardware,16000002895,Doorcloser,HMS,933.35,,0102A
5200003384,18.01.2016,300091,32,Navkar Enterprises,16000000822,18W PLC Philips/Havells,MB,88,,0101A
5200003384,18.01.2016,300091,10,Navkar Enterprises,16000000856,18W copper choke,MB,120,,0102A
5200003384,18.01.2016,300091,2,Navkar Enterprises,16000000822,13W PLC Philips/Havells,MB,88,,0102A
5200003384,18.01.2016,300091,2,Navkar Enterprises,16000000859,40W Teknol.  Ele. Choke,MB,160,,0102A
5200003384,18.01.2016,300091,1,Navkar Enterprises,16000000871,150W Halogen Bulb,MB,450,,0102A
5200003384,18.01.2016,300091,1,Navkar Enterprises,16000000860,150W Metalite Choke,MB,800,,0101A
5200003416,30.01.2016,300091,10,Navkar Enterprises,16000000822,18W PLC Philips/Havells,MB,88,,0101A
5200003416,30.01.2016,300091,5,Navkar Enterprises,16000000856,18W copper choke,MB,120,,0101A
5200003416,30.01.2016,300091,2,Navkar Enterprises,16000000859,40W Teknol.  Ele. Choke,MB,160,,0101A
5200003416,30.01.2016,300091,1,Navkar Enterprises,16000000872,40W TL & TLD,MB,43,,0102A
5200003416,30.01.2016,300091,1,Navkar Enterprises,16000000872,20W TL & TLD,MB,43,,0101A
5200003416,30.01.2016,300091,1,Navkar Enterprises,16000000872,"9"" shutterfan",MB,960,,0102A
