P_O_Number,P_O_Date,Vendor_Code,Order_Qty,Vendor_Name,Material_Code,Material_Description,Order_By,Rate
5200002997,07.08.2015,300091,6,Credence Infotech,16000000872,36W TL & TLD - 4Ft,Milind,43
5200002997,07.08.2015,300091,5,Credence Infotech,16000000872,36W TL & TLD - 2Ft,Milind,43
5200002997,07.08.2015,300091,31,Credence Infotech,16000000862,Electronic Starter,Milind,13
5200002997,07.08.2015,300091,3,Credence Infotech,16000000855,Copper choke,Milind,100
5200002997,07.08.2015,300091,26,Credence Infotech,16000000822,18W PLC Philips/Havells,Milind,88
5200002997,07.08.2015,300091,10,Credence Infotech,16000000856,18W copper choke,Milind,120
5200002997,07.08.2015,300091,2,Credence Infotech,16000000823,36W PLL Philips/Havells,Milind,140
5200002997,07.08.2015,300091,2,Credence Infotech,16000000857,36W copper choke,Milind,140
5200002997,07.08.2015,300091,1,Credence Infotech,16000000856,18W copper choke,Milind,280
5200002997,07.08.2015,300091,1,Credence Infotech,16000000862,Electronic Starter,Milind,220
